500
    1     8    15
    2    70    64
    3    69    74
    4    91    95
    5    46    48
    6    37    37
    7    35    29
    8    33    43
    9    56    61
   10    78    78
   11    49    55
   12    91    83
   13    20    16
   14    90    84
   15    35    28
   16    33    28
   17    21    25
   18    33    40
   19    92    89
   20    30    30
   21    62    53
   22    22    23
   23    86    76
   24    53    54
   25    33    40
   26     6    16
   27    59    58
   28    65    55
   29    44    53
   30    90    95
   31   101    93
   32    53    63
   33    68    67
   34    22    13
   35    55    48
   36    19    13
   37    32    24
   38    49    48
   39    93   100
   40    38    34
   41    18    23
   42    56    57
   43    14     6
   44    48    45
   45    31    35
   46    90    94
   47     6    13
   48    32    29
   49    85    95
   50    50    52
   51    12    10
   52   105    96
   53    51    57
   54    31    24
   55    84    88
   56    36    39
   57    20    13
   58    57    54
   59    56    52
   60    16     6
   61    20    16
   62    68    78
   63    80    75
   64    82    74
   65    70    75
   66    94    84
   67   103    96
   68    86    94
   69    17    16
   70    37    29
   71     8    17
   72    15    13
   73    57    54
   74    68    59
   75    49    55
   76    49    52
   77    84    82
   78    93    83
   79    40    40
   80    42    38
   81    35    33
   82    46    49
   83    27    34
   84   101    97
   85    94    93
   86    96    97
   87    61    51
   88    84    76
   89    41    46
   90    67    71
   91    46    44
   92    38    48
   93    70    60
   94    85    87
   95    77    72
   96    43    37
   97    51    45
   98    27    20
   99    51    60
  100    54    44
  101     8     9
  102    63    64
  103    79    82
  104    22    12
  105    23    17
  106    91    90
  107    16     7
  108    96    98
  109    94    98
  110    47    53
  111    73    78
  112    41    39
  113     9     5
  114    74    73
  115    91    81
  116    12    22
  117    44    47
  118    75    77
  119    18    17
  120    28    28
  121     1     3
  122    33    40
  123    84    83
  124     7     2
  125    57    53
  126    74    70
  127    50    47
  128     9    15
  129    45    42
  130    39    39
  131   103    93
  132    41    37
  133     7    14
  134    22    16
  135    39    32
  136    36    38
  137    62    65
  138     1     6
  139     1     1
  140    51    48
  141    75    75
  142    37    44
  143    30    31
  144    11     3
  145    43    37
  146    55    58
  147    39    46
  148    49    47
  149    22    12
  150    29    26
  151    87    77
  152    17    12
  153    18    21
  154    42    44
  155    48    53
  156    84    92
  157    21    22
  158    87    91
  159    92    85
  160    33    29
  161    48    49
  162    75    82
  163    72    78
  164    76    73
  165    37    33
  166    14     6
  167    65    70
  168    81    79
  169    31    29
  170    35    45
  171    52    62
  172    11     5
  173     4     4
  174    17    17
  175     8     2
  176    49    50
  177    24    22
  178    76    77
  179    81    90
  180    34    27
  181    30    35
  182    58    56
  183    69    60
  184    68    68
  185    29    24
  186    36    29
  187     8     2
  188    84    81
  189    68    75
  190    12    13
  191    51    46
  192    55    54
  193    45    44
  194    45    48
  195    43    37
  196     8     5
  197    28    19
  198    94    93
  199    10     2
  200    51    61
  201   100    94
  202    53    52
  203    89    98
  204    38    46
  205    94    90
  206    10    16
  207    82    84
  208    64    73
  209    81    71
  210    83    93
  211    71    76
  212    65    59
  213    10    10
  214    65    72
  215    51    49
  216    34    43
  217    42    36
  218    81    75
  219    81    85
  220     8    18
  221    13     5
  222    24    16
  223    27    21
  224    16    19
  225    75    83
  226    34    35
  227    17    11
  228    22    25
  229    58    67
  230    67    70
  231    35    37
  232    57    54
  233    72    76
  234    45    50
  235    36    33
  236    80    87
  237    62    69
  238    63    65
  239    34    32
  240    13    16
  241    79    81
  242    44    35
  243    37    45
  244    87    91
  245    44    54
  246    70    66
  247    64    65
  248    91    93
  249    28    36
  250    41    32
  251    52    54
  252    49    46
  253    36    32
  254    45    53
  255    49    47
  256    29    20
  257    61    64
  258    84    84
  259   107    99
  260    62    56
  261     1     3
  262    18    17
  263    51    46
  264    74    66
  265     6    11
  266    49    45
  267    75    70
  268    30    31
  269    61    52
  270    55    47
  271    36    27
  272    24    23
  273    61    67
  274    12    22
  275    18    25
  276    41    50
  277    60    70
  278    89    98
  279    51    60
  280    99   100
  281    87    80
  282    17    22
  283    86    87
  284    66    62
  285    26    28
  286    36    44
  287    41    51
  288    94   100
  289    10    20
  290    47    42
  291    25    22
  292    27    19
  293    44    48
  294    84    85
  295    83    86
  296    87    82
  297    11     6
  298    56    58
  299     4     9
  300     1     7
  301    64    68
  302    40    50
  303    31    41
  304    98    97
  305    61    59
  306    22    15
  307    24    23
  308    33    41
  309     1     3
  310    86    95
  311    79    73
  312    37    38
  313    90    86
  314    85    89
  315    11     1
  316    75    74
  317    96    96
  318    45    45
  319    91    94
  320    95    92
  321    72    62
  322    48    46
  323    28    23
  324    51    54
  325    44    37
  326    58    67
  327    35    45
  328    18    18
  329     3     9
  330    75    68
  331    27    35
  332    45    51
  333    73    80
  334   101   100
  335     2     9
  336    76    75
  337    11     2
  338    27    18
  339    14    24
  340    41    51
  341    70    73
  342    28    26
  343    48    45
  344    78    72
  345    14    24
  346    44    34
  347    43    43
  348    66    61
  349    13    13
  350    36    35
  351    18    20
  352    64    72
  353    51    56
  354    10     4
  355    65    68
  356    54    56
  357    53    51
  358    91    99
  359    81    78
  360   104    94
  361    87    89
  362    23    16
  363    57    48
  364    55    62
  365    10     5
  366    77    83
  367    24    20
  368    16     8
  369    92    83
  370    49    54
  371    43    47
  372    57    57
  373     5     7
  374    19    26
  375     9     8
  376    47    45
  377    33    42
  378    38    41
  379    94    99
  380    69    68
  381    22    30
  382    48    51
  383    91    92
  384    77    67
  385    67    75
  386    96    91
  387    63    63
  388    79    74
  389    67    61
  390    23    16
  391    33    30
  392     8     5
  393    67    70
  394    62    70
  395    44    44
  396    21    13
  397    42    47
  398    21    19
  399    78    78
  400    55    65
  401    63    56
  402    93    89
  403    83    73
  404    25    19
  405    93    98
  406    18    28
  407    69    61
  408   103    98
  409    25    26
  410    23    30
  411    53    50
  412    83    91
  413    56    48
  414    45    52
  415    20    15
  416    92    94
  417    58    66
  418    30    24
  419    75    80
  420    26    19
  421    44    41
  422    20    30
  423    67    61
  424    88    83
  425    88    92
  426   107    97
  427     8     6
  428    70    79
  429    15     6
  430   103    93
  431    57    54
  432    25    25
  433    98    89
  434    80    80
  435    75    78
  436    10     8
  437    74    65
  438    16    23
  439    45    49
  440    89    94
  441    70    77
  442     3     8
  443    39    43
  444    95    93
  445    46    39
  446    25    27
  447    32    36
  448    85    88
  449    21    22
  450    28    34
  451    70    60
  452    41    41
  453    83    80
  454    12     7
  455    79    70
  456    35    34
  457    79    70
  458    60    70
  459    16    15
  460    34    25
  461    35    29
  462    18     9
  463    63    73
  464    22    26
  465    17    24
  466    36    33
  467    88    78
  468    63    73
  469    37    34
  470    26    25
  471    64    64
  472     1     6
  473    42    34
  474    58    55
  475    53    47
  476    17    19
  477    95    94
  478    36    32
  479    66    56
  480    22    18
  481    26    19
  482    42    46
  483   107    99
  484    73    65
  485    20    29
  486    54    61
  487     8    10
  488    11    20
  489    70    77
  490     1     4
  491    11    18
  492    16    11
  493    44    36
  494    58    51
  495    49    50
  496    65    70
  497    44    35
  498    72    76
  499    85    92
  500     8     2
20613
